date,year,month,day,reb
2021-12-14,2021,12,14,0
2021-12-15,2021,12,15,0
2021-12-16,2021,12,16,0
2021-12-17,2021,12,17,0
2021-12-20,2021,12,20,0
2021-12-21,2021,12,21,0
2021-12-22,2021,12,22,0
2021-12-23,2021,12,23,0
2021-12-27,2021,12,27,0
2021-12-28,2021,12,28,0
2021-12-29,2021,12,29,0
2021-12-30,2021,12,30,0
2021-12-31,2021,12,31,0
2022-01-03,2022,1,3,1
2022-01-04,2022,1,4,0
2022-01-05,2022,1,5,0
2022-01-06,2022,1,6,0
2022-01-07,2022,1,7,0
2022-01-10,2022,1,10,0
2022-01-11,2022,1,11,0
2022-01-12,2022,1,12,0
2022-01-13,2022,1,13,0
2022-01-14,2022,1,14,0
2022-01-18,2022,1,18,0
2022-01-19,2022,1,19,0
2022-01-20,2022,1,20,0
2022-01-21,2022,1,21,0
2022-01-24,2022,1,24,0
2022-01-25,2022,1,25,0
2022-01-26,2022,1,26,0
2022-01-27,2022,1,27,0
2022-01-28,2022,1,28,0
2022-01-31,2022,1,31,0
2022-02-01,2022,2,1,1
2022-02-02,2022,2,2,0
2022-02-03,2022,2,3,0
2022-02-04,2022,2,4,0
2022-02-07,2022,2,7,0
2022-02-08,2022,2,8,0
2022-02-09,2022,2,9,0
2022-02-10,2022,2,10,0
2022-02-11,2022,2,11,0
2022-02-14,2022,2,14,0
2022-02-15,2022,2,15,0
2022-02-16,2022,2,16,0
2022-02-17,2022,2,17,0
2022-02-18,2022,2,18,0
2022-02-22,2022,2,22,0
2022-02-23,2022,2,23,0
2022-02-24,2022,2,24,0
2022-02-25,2022,2,25,0
2022-02-28,2022,2,28,0
2022-03-01,2022,3,1,1
2022-03-02,2022,3,2,0
2022-03-03,2022,3,3,0
2022-03-04,2022,3,4,0
2022-03-07,2022,3,7,0
2022-03-08,2022,3,8,0
2022-03-09,2022,3,9,0
2022-03-10,2022,3,10,0
2022-03-11,2022,3,11,0
2022-03-14,2022,3,14,0
2022-03-15,2022,3,15,0
2022-03-16,2022,3,16,0
2022-03-17,2022,3,17,0
2022-03-18,2022,3,18,0
2022-03-21,2022,3,21,0
2022-03-22,2022,3,22,0
2022-03-23,2022,3,23,0
2022-03-24,2022,3,24,0
2022-03-25,2022,3,25,0
2022-03-28,2022,3,28,0
2022-03-29,2022,3,29,0
2022-03-30,2022,3,30,0
2022-03-31,2022,3,31,0
2022-04-01,2022,4,1,1
2022-04-04,2022,4,4,0
2022-04-05,2022,4,5,0
2022-04-06,2022,4,6,0
2022-04-07,2022,4,7,0
2022-04-08,2022,4,8,0
2022-04-11,2022,4,11,0
2022-04-12,2022,4,12,0
2022-04-13,2022,4,13,0
2022-04-14,2022,4,14,0
2022-04-18,2022,4,18,0
2022-04-19,2022,4,19,0
2022-04-20,2022,4,20,0
2022-04-21,2022,4,21,0
2022-04-22,2022,4,22,0
2022-04-25,2022,4,25,0
2022-04-26,2022,4,26,0
2022-04-27,2022,4,27,0
2022-04-28,2022,4,28,0
2022-04-29,2022,4,29,0
2022-05-02,2022,5,2,1
2022-05-03,2022,5,3,0
2022-05-04,2022,5,4,0
2022-05-05,2022,5,5,0
2022-05-06,2022,5,6,0
2022-05-09,2022,5,9,0
2022-05-10,2022,5,10,0
2022-05-11,2022,5,11,0
2022-05-12,2022,5,12,0
2022-05-13,2022,5,13,0
2022-05-16,2022,5,16,0
2022-05-17,2022,5,17,0
2022-05-18,2022,5,18,0
2022-05-19,2022,5,19,0
2022-05-20,2022,5,20,0
2022-05-23,2022,5,23,0
2022-05-24,2022,5,24,0
2022-05-25,2022,5,25,0
2022-05-26,2022,5,26,0
2022-05-27,2022,5,27,0
2022-05-31,2022,5,31,0
2022-06-01,2022,6,1,1
2022-06-02,2022,6,2,0
2022-06-03,2022,6,3,0
2022-06-06,2022,6,6,0
2022-06-07,2022,6,7,0
2022-06-08,2022,6,8,0
2022-06-09,2022,6,9,0
2022-06-10,2022,6,10,0
2022-06-13,2022,6,13,0
2022-06-14,2022,6,14,0
2022-06-15,2022,6,15,0
2022-06-16,2022,6,16,0
2022-06-17,2022,6,17,0
2022-06-21,2022,6,21,0
2022-06-22,2022,6,22,0
2022-06-23,2022,6,23,0
2022-06-24,2022,6,24,0
2022-06-27,2022,6,27,0
2022-06-28,2022,6,28,0
2022-06-29,2022,6,29,0
2022-06-30,2022,6,30,0
2022-07-01,2022,7,1,1
2022-07-05,2022,7,5,0
2022-07-06,2022,7,6,0
2022-07-07,2022,7,7,0
2022-07-08,2022,7,8,0
2022-07-11,2022,7,11,0
2022-07-12,2022,7,12,0
2022-07-13,2022,7,13,0
2022-07-14,2022,7,14,0
2022-07-15,2022,7,15,0
2022-07-18,2022,7,18,0
2022-07-19,2022,7,19,0
2022-07-20,2022,7,20,0
2022-07-21,2022,7,21,0
2022-07-22,2022,7,22,0
2022-07-25,2022,7,25,0
2022-07-26,2022,7,26,0
2022-07-27,2022,7,27,0
2022-07-28,2022,7,28,0
2022-07-29,2022,7,29,0
2022-08-01,2022,8,1,1
2022-08-02,2022,8,2,0
2022-08-03,2022,8,3,0
2022-08-04,2022,8,4,0
2022-08-05,2022,8,5,0
2022-08-08,2022,8,8,0
2022-08-09,2022,8,9,0
2022-08-10,2022,8,10,0
2022-08-11,2022,8,11,0
2022-08-12,2022,8,12,0
2022-08-15,2022,8,15,0
2022-08-16,2022,8,16,0
2022-08-17,2022,8,17,0
2022-08-18,2022,8,18,0
2022-08-19,2022,8,19,0
2022-08-22,2022,8,22,0
2022-08-23,2022,8,23,0
2022-08-24,2022,8,24,0
2022-08-25,2022,8,25,0
2022-08-26,2022,8,26,0
2022-08-29,2022,8,29,0
2022-08-30,2022,8,30,0
2022-08-31,2022,8,31,0
2022-09-01,2022,9,1,1
2022-09-02,2022,9,2,0
2022-09-06,2022,9,6,0
2022-09-07,2022,9,7,0
2022-09-08,2022,9,8,0
2022-09-09,2022,9,9,0
2022-09-12,2022,9,12,0
2022-09-13,2022,9,13,0
2022-09-14,2022,9,14,0
2022-09-15,2022,9,15,0
2022-09-16,2022,9,16,0
2022-09-19,2022,9,19,0
2022-09-20,2022,9,20,0
2022-09-21,2022,9,21,0
2022-09-22,2022,9,22,0
2022-09-23,2022,9,23,0
2022-09-26,2022,9,26,0
2022-09-27,2022,9,27,0
2022-09-28,2022,9,28,0
2022-09-29,2022,9,29,0
2022-09-30,2022,9,30,0
2022-10-03,2022,10,3,1
2022-10-04,2022,10,4,0
2022-10-05,2022,10,5,0
2022-10-06,2022,10,6,0
2022-10-07,2022,10,7,0
2022-10-10,2022,10,10,0
2022-10-11,2022,10,11,0
2022-10-12,2022,10,12,0
2022-10-13,2022,10,13,0
2022-10-14,2022,10,14,0
2022-10-17,2022,10,17,0
2022-10-18,2022,10,18,0
2022-10-19,2022,10,19,0
2022-10-20,2022,10,20,0
2022-10-21,2022,10,21,0
2022-10-24,2022,10,24,0
2022-10-25,2022,10,25,0
2022-10-26,2022,10,26,0
2022-10-27,2022,10,27,0
2022-10-28,2022,10,28,0
2022-10-31,2022,10,31,0
2022-11-01,2022,11,1,1
2022-11-02,2022,11,2,0
2022-11-03,2022,11,3,0
2022-11-04,2022,11,4,0
2022-11-07,2022,11,7,0
2022-11-08,2022,11,8,0
2022-11-09,2022,11,9,0
2022-11-10,2022,11,10,0
2022-11-11,2022,11,11,0
2022-11-14,2022,11,14,0
2022-11-15,2022,11,15,0
2022-11-16,2022,11,16,0
2022-11-17,2022,11,17,0
2022-11-18,2022,11,18,0
2022-11-21,2022,11,21,0
2022-11-22,2022,11,22,0
2022-11-23,2022,11,23,0
2022-11-25,2022,11,25,0
2022-11-28,2022,11,28,0
2022-11-29,2022,11,29,0
2022-11-30,2022,11,30,0
2022-12-01,2022,12,1,1
2022-12-02,2022,12,2,0
2022-12-05,2022,12,5,0
2022-12-06,2022,12,6,0
2022-12-07,2022,12,7,0
2022-12-08,2022,12,8,0
2022-12-09,2022,12,9,0
2022-12-12,2022,12,12,0
2022-12-13,2022,12,13,0
2022-12-14,2022,12,14,0
2022-12-15,2022,12,15,0
2022-12-16,2022,12,16,0
2022-12-19,2022,12,19,0
2022-12-20,2022,12,20,0
2022-12-21,2022,12,21,0
2022-12-22,2022,12,22,0
2022-12-23,2022,12,23,0
2022-12-27,2022,12,27,0
2022-12-28,2022,12,28,0
2022-12-29,2022,12,29,0
2022-12-30,2022,12,30,0
2023-01-03,2023,1,3,1
2023-01-04,2023,1,4,0
2023-01-05,2023,1,5,0
2023-01-06,2023,1,6,0
2023-01-09,2023,1,9,0
2023-01-10,2023,1,10,0
2023-01-11,2023,1,11,0
2023-01-12,2023,1,12,0
2023-01-13,2023,1,13,0
2023-01-17,2023,1,17,0
2023-01-18,2023,1,18,0
2023-01-19,2023,1,19,0
2023-01-20,2023,1,20,0
2023-01-23,2023,1,23,0
2023-01-24,2023,1,24,0
2023-01-25,2023,1,25,0
2023-01-26,2023,1,26,0
2023-01-27,2023,1,27,0
2023-01-30,2023,1,30,0
2023-01-31,2023,1,31,0
2023-02-01,2023,2,1,1
2023-02-02,2023,2,2,0
2023-02-03,2023,2,3,0
2023-02-06,2023,2,6,0
2023-02-07,2023,2,7,0
2023-02-08,2023,2,8,0
2023-02-09,2023,2,9,0
2023-02-10,2023,2,10,0
2023-02-13,2023,2,13,0
2023-02-14,2023,2,14,0
2023-02-15,2023,2,15,0
2023-02-16,2023,2,16,0
2023-02-17,2023,2,17,0
2023-02-21,2023,2,21,0
2023-02-22,2023,2,22,0
2023-02-23,2023,2,23,0
2023-02-24,2023,2,24,0
2023-02-27,2023,2,27,0
2023-02-28,2023,2,28,0
2023-03-01,2023,3,1,1
2023-03-02,2023,3,2,0
2023-03-03,2023,3,3,0
2023-03-06,2023,3,6,0
2023-03-07,2023,3,7,0
2023-03-08,2023,3,8,0
2023-03-09,2023,3,9,0
2023-03-10,2023,3,10,0
2023-03-13,2023,3,13,0
2023-03-14,2023,3,14,0
2023-03-15,2023,3,15,0
2023-03-16,2023,3,16,0
2023-03-17,2023,3,17,0
2023-03-20,2023,3,20,0
2023-03-21,2023,3,21,0
2023-03-22,2023,3,22,0
2023-03-23,2023,3,23,0
2023-03-24,2023,3,24,0
2023-03-27,2023,3,27,0
2023-03-28,2023,3,28,0
2023-03-29,2023,3,29,0
2023-03-30,2023,3,30,0
2023-03-31,2023,3,31,0
2023-04-03,2023,4,3,1
2023-04-04,2023,4,4,0
2023-04-05,2023,4,5,0
2023-04-06,2023,4,6,0
2023-04-10,2023,4,10,0
2023-04-11,2023,4,11,0
2023-04-12,2023,4,12,0
2023-04-13,2023,4,13,0
2023-04-14,2023,4,14,0
2023-04-17,2023,4,17,0
2023-04-18,2023,4,18,0
2023-04-19,2023,4,19,0
2023-04-20,2023,4,20,0
2023-04-21,2023,4,21,0
2023-04-24,2023,4,24,0
2023-04-25,2023,4,25,0
2023-04-26,2023,4,26,0
2023-04-27,2023,4,27,0
2023-04-28,2023,4,28,0
2023-05-01,2023,5,1,1
2023-05-02,2023,5,2,0
2023-05-03,2023,5,3,0
2023-05-04,2023,5,4,0
2023-05-05,2023,5,5,0
2023-05-08,2023,5,8,0
2023-05-09,2023,5,9,0
2023-05-10,2023,5,10,0
2023-05-11,2023,5,11,0
2023-05-12,2023,5,12,0
2023-05-15,2023,5,15,0
2023-05-16,2023,5,16,0
2023-05-17,2023,5,17,0
2023-05-18,2023,5,18,0
2023-05-19,2023,5,19,0
2023-05-22,2023,5,22,0
2023-05-23,2023,5,23,0
2023-05-24,2023,5,24,0
2023-05-25,2023,5,25,0
2023-05-26,2023,5,26,0
2023-05-30,2023,5,30,0
2023-05-31,2023,5,31,0
2023-06-01,2023,6,1,1
2023-06-02,2023,6,2,0
2023-06-05,2023,6,5,0
2023-06-06,2023,6,6,0
2023-06-07,2023,6,7,0
2023-06-08,2023,6,8,0
2023-06-09,2023,6,9,0
2023-06-12,2023,6,12,0
2023-06-13,2023,6,13,0
2023-06-14,2023,6,14,0
2023-06-15,2023,6,15,0
2023-06-16,2023,6,16,0
2023-06-20,2023,6,20,0
2023-06-21,2023,6,21,0
2023-06-22,2023,6,22,0
2023-06-23,2023,6,23,0
2023-06-26,2023,6,26,0
2023-06-27,2023,6,27,0
2023-06-28,2023,6,28,0
2023-06-29,2023,6,29,0
2023-06-30,2023,6,30,0
2023-07-03,2023,7,3,1
2023-07-05,2023,7,5,0
2023-07-06,2023,7,6,0
2023-07-07,2023,7,7,0
2023-07-10,2023,7,10,0
2023-07-11,2023,7,11,0
2023-07-12,2023,7,12,0
2023-07-13,2023,7,13,0
2023-07-14,2023,7,14,0
2023-07-17,2023,7,17,0
2023-07-18,2023,7,18,0
2023-07-19,2023,7,19,0
2023-07-20,2023,7,20,0
2023-07-21,2023,7,21,0
2023-07-24,2023,7,24,0
2023-07-25,2023,7,25,0
2023-07-26,2023,7,26,0
2023-07-27,2023,7,27,0
2023-07-28,2023,7,28,0
2023-07-31,2023,7,31,0
2023-08-01,2023,8,1,1
2023-08-02,2023,8,2,0
2023-08-03,2023,8,3,0
2023-08-04,2023,8,4,0
2023-08-07,2023,8,7,0
2023-08-08,2023,8,8,0
2023-08-09,2023,8,9,0
2023-08-10,2023,8,10,0
2023-08-11,2023,8,11,0
2023-08-14,2023,8,14,0
2023-08-15,2023,8,15,0
2023-08-16,2023,8,16,0
2023-08-17,2023,8,17,0
2023-08-18,2023,8,18,0
2023-08-21,2023,8,21,0
2023-08-22,2023,8,22,0
2023-08-23,2023,8,23,0
2023-08-24,2023,8,24,0
2023-08-25,2023,8,25,0
2023-08-28,2023,8,28,0
2023-08-29,2023,8,29,0
2023-08-30,2023,8,30,0
2023-08-31,2023,8,31,0
2023-09-01,2023,9,1,1
2023-09-05,2023,9,5,0
2023-09-06,2023,9,6,0
2023-09-07,2023,9,7,0
2023-09-08,2023,9,8,0
2023-09-11,2023,9,11,0
2023-09-12,2023,9,12,0
2023-09-13,2023,9,13,0
2023-09-14,2023,9,14,0
2023-09-15,2023,9,15,0
2023-09-18,2023,9,18,0
2023-09-19,2023,9,19,0
2023-09-20,2023,9,20,0
2023-09-21,2023,9,21,0
2023-09-22,2023,9,22,0
2023-09-25,2023,9,25,0
2023-09-26,2023,9,26,0
2023-09-27,2023,9,27,0
2023-09-28,2023,9,28,0
2023-09-29,2023,9,29,0
2023-10-02,2023,10,2,1
2023-10-03,2023,10,3,0
2023-10-04,2023,10,4,0
2023-10-05,2023,10,5,0
2023-10-06,2023,10,6,0
2023-10-09,2023,10,9,0
2023-10-10,2023,10,10,0
2023-10-11,2023,10,11,0
2023-10-12,2023,10,12,0
2023-10-13,2023,10,13,0
2023-10-16,2023,10,16,0
2023-10-17,2023,10,17,0
2023-10-18,2023,10,18,0
2023-10-19,2023,10,19,0
2023-10-20,2023,10,20,0
2023-10-23,2023,10,23,0
2023-10-24,2023,10,24,0
2023-10-25,2023,10,25,0
2023-10-26,2023,10,26,0
2023-10-27,2023,10,27,0
2023-10-30,2023,10,30,0
2023-10-31,2023,10,31,0
2023-11-01,2023,11,1,1
2023-11-02,2023,11,2,0
2023-11-03,2023,11,3,0
2023-11-06,2023,11,6,0
2023-11-07,2023,11,7,0
2023-11-08,2023,11,8,0
2023-11-09,2023,11,9,0
2023-11-10,2023,11,10,0
2023-11-13,2023,11,13,0
2023-11-14,2023,11,14,0
2023-11-15,2023,11,15,0
2023-11-16,2023,11,16,0
2023-11-17,2023,11,17,0
2023-11-20,2023,11,20,0
2023-11-21,2023,11,21,0
2023-11-22,2023,11,22,0
2023-11-24,2023,11,24,0
2023-11-27,2023,11,27,0
2023-11-28,2023,11,28,0
2023-11-29,2023,11,29,0
